oup-doc1,192.168.224.171
tpl-mfc1,192.168.1.20
tpl-mfc2,192.168.1.21
tpl-server,192.168.1.19
arm-tpl,192.168.1.18
pfu2-tkm-pult,192.168.1.30
pfu2-tkm-psu14,192.168.1.31
pfu2-tkm-psu20,192.168.1.32
weight-server,192.168.1.55
pfu5-mfc1,192.168.1.37
pfu5-mfc2,192.168.1.38
press5-server,192.168.1.36
arm-press3,192.168.1.34
arm-press5,192.168.1.35
rf-mfc1,192.168.1.53
rf-mfc2,192.168.1.54
rotate-server,192.168.1.57
arm-v-pech,192.168.1.52
tf-mfc1,192.168.1.25
tf-mfc2,192.168.1.26
tunnel-server,192.168.1.7
ARM_TUNNEL-FURN,192.168.1.24
csi-mfc1,192.168.1.47
csi-mfc2,192.168.1.48
csi-server,192.168.1.43
arm-csi,192.168.1.41
moxa-rf,192.168.1.216
moxa-glina,192.168.1.217
moxa-tf,192.168.1.213
ecom-per-pech,192.168.1.211
ecom-lunkerit,192.168.1.215
moxa-lunkerit,192.168.1.15
ecom-sklad-rmu,192.168.1.212
moxa-sklad-rmu1,192.168.1.214
moxa-sklad-rmu2,192.168.1.254
